Rows B-O were collected automatically up to 7/16; rows P-AC are manually collected ,Restaurants (outdoor dining only),Restaurants and bars,Dine-in Restaurants (no bars),Retail (curbside pickup only),Retail,Hair Salons and Barbershops,Non-hair Personal Care,Gyms & Fitness Centers,Entertainment,Houses of Worship,Office Environments,Construction,Beaches,State Parks,Restaurants (outdoor dining only),Restaurants and bars,Dine-in Restaurants (no bars),Retail (curbside pickup only),Retail,Hair Salons and Barbershops,Non-hair Personal Care,Gyms & Fitness Centers,Entertainment,Houses of Worship,Office Environments,Construction,Beaches,State Parks,,,Outdoor Recreation
Wisconsin,,0624,,,0506,0624,,0625,,0622 0626 0627,,,,0501,,,,,,,,,,,,,,,,,
Wyoming,,,0515,,0703,0501,0501,0501,0515,0627,,,,0518,,,,,,,,,,,,,,,,,
,,,,,,,,,Could use bowling alleys or movie theaters and extrapolate for this category?,Unfortunately the NYTimes data for houses of worship is pretty bad; we'll either need another source or manual collection,,,Pretty sure this is an important category; lots of stuff in the news about big beach parties in florida or wherever,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most frequent phrases in NYT reopening data (5/1 - 7/10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gyms 86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[no info] 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbershops 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retail stores 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state parks 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golf courses 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurant dining 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
museums 54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salons 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hair salons 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beaches 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
movie theaters 49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retail stores open to curbside pickup 46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tattoo parlors 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campgrounds 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
etc. 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pools 42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bowling alleys 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casinos 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pet groomers 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manufacturing 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libraries 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offices 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zoos 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bars 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
construction 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malls 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marinas 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
theaters 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nail salons 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gyms in most counties 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spas 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boating 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurants open for outdoor dining 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aquariums 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurants 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
massage therapy 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tanning salons 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amusement parks 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbers 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retail 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
